               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018445,           0.0098634,           0.0064955,              0.9705,             0.98373,              0.9907,             0.94068,           0.0086431,           0.0027577,           0.0024868,             0.00307,             0.00307,             0.00307
                  37,            0.018041,           0.0098596,           0.0060162,              0.9714,             0.98655,             0.99094,              0.9431,           0.0086979,            0.002736,           0.0022389,            0.002872,            0.002872,            0.002872
                  38,            0.017599,           0.0096765,           0.0059563,             0.97436,             0.98473,             0.99094,             0.94636,           0.0085168,           0.0027074,           0.0023037,            0.002674,            0.002674,            0.002674
                  39,            0.017116,           0.0096671,           0.0057187,             0.97159,             0.98759,              0.9918,             0.94718,           0.0085032,           0.0026679,           0.0020857,            0.002476,            0.002476,            0.002476
                  40,            0.016972,           0.0094927,           0.0050602,             0.97809,             0.98727,             0.99211,             0.95129,           0.0082841,           0.0026674,           0.0021885,            0.002278,            0.002278,            0.002278
                  41,            0.016132,           0.0092826,           0.0048501,             0.97745,              0.9872,             0.99207,             0.95137,           0.0081609,           0.0026257,           0.0020536,             0.00208,             0.00208,             0.00208
                  42,            0.015895,           0.0092143,           0.0049282,             0.98209,             0.98258,             0.99242,             0.95391,           0.0079834,              0.0026,           0.0019869,            0.001882,            0.001882,            0.001882
                  43,            0.015502,            0.009004,           0.0045489,             0.97919,             0.98614,             0.99214,             0.95392,           0.0080837,           0.0025976,            0.002027,            0.001684,            0.001684,            0.001684
                  44,            0.015055,           0.0089912,            0.004408,              0.9823,             0.98465,             0.99272,             0.95548,           0.0079045,           0.0025348,           0.0019422,            0.001486,            0.001486,            0.001486
                  45,            0.014419,           0.0088073,           0.0038886,             0.97968,             0.98719,             0.99231,             0.95515,           0.0079143,           0.0025452,           0.0018638,            0.001288,            0.001288,            0.001288
                  46,            0.013943,           0.0086969,           0.0036858,             0.98195,             0.98547,             0.99258,             0.95767,           0.0078303,           0.0025028,           0.0018072,             0.00109,             0.00109,             0.00109
                  47,            0.013456,            0.008606,           0.0036619,             0.98107,             0.98606,              0.9928,             0.95878,           0.0078269,           0.0024945,           0.0017719,            0.000892,            0.000892,            0.000892
                  48,            0.013195,           0.0085021,           0.0038197,             0.98354,             0.98594,             0.99284,             0.95993,           0.0077319,            0.002465,           0.0016668,            0.000694,            0.000694,            0.000694
                  49,            0.012586,           0.0083348,           0.0031817,              0.9827,             0.98727,             0.99279,             0.96041,           0.0077085,           0.0024573,           0.0015809,            0.000496,            0.000496,            0.000496
